,filename,cell_type,x1,x2,y1,y2,content,img_width,img_height,bb_width,bb_height,conf
1867,photo-13.jpg,-1.0,1176.0,1276.0,2259.0,2261.0,I,3264.0,2448.0,100.0,2.0,100
6053,photo-67.jpg,-1.0,1195.0,1735.0,2254.0,2260.0,W,3264.0,2448.0,540.0,6.0,100
1899,photo-14.jpg,-1.0,1149.0,1394.0,2239.0,2243.0,1,3264.0,2448.0,245.0,4.0,100
4058,photo-42.jpg,-1.0,1623.0,1674.0,2239.0,2242.0,{,3264.0,2448.0,51.0,3.0,100
6155,photo-69.jpg,-1.0,1145.0,1152.0,2233.0,2256.0,L,3264.0,2448.0,7.0,23.0,100
7123,photo-8.jpg,-1.0,1081.0,1300.0,2226.0,2230.0,1,3264.0,2448.0,219.0,4.0,100
8529,photo-98.jpg,-1.0,1517.0,1717.0,2224.0,2228.0,1,3264.0,2448.0,200.0,4.0,100
8532,photo-98.jpg,-1.0,1277.0,1499.0,2222.0,2228.0,1,3264.0,2448.0,222.0,6.0,100
6117,photo-69.jpg,-1.0,1425.0,1457.0,2220.0,2235.0,1,3264.0,2448.0,32.0,15.0,100
6121,photo-69.jpg,-1.0,1184.0,1217.0,2217.0,2240.0,2,3264.0,2448.0,33.0,23.0,100
8538,photo-98.jpg,-1.0,1031.0,1215.0,2216.0,2228.0,(,3264.0,2448.0,184.0,12.0,100
6120,photo-69.jpg,-1.0,1245.0,1276.0,2216.0,2241.0,4,3264.0,2448.0,31.0,25.0,100
6119,photo-69.jpg,-1.0,1305.0,1337.0,2216.0,2239.0,2,3264.0,2448.0,32.0,23.0,100
6118,photo-69.jpg,-1.0,1365.0,1397.0,2216.0,2239.0,2,3264.0,2448.0,32.0,23.0,100
6114,photo-69.jpg,-1.0,1607.0,1640.0,2215.0,2238.0,5,3264.0,2448.0,33.0,23.0,100
6116,photo-69.jpg,-1.0,1485.0,1518.0,2214.0,2239.0,6,3264.0,2448.0,33.0,25.0,100
6115,photo-69.jpg,-1.0,1546.0,1579.0,2214.0,2239.0,6,3264.0,2448.0,33.0,25.0,100
8149,photo-97.jpg,-1.0,986.0,1010.0,2213.0,2233.0,%,3264.0,2448.0,24.0,20.0,100
6156,photo-69.jpg,-1.0,1145.0,1152.0,2211.0,2231.0,1,3264.0,2448.0,7.0,20.0,100
8008,photo-96.jpg,-1.0,1186.0,1244.0,2195.0,2209.0,),3264.0,2448.0,58.0,14.0,100
5727,photo-63.jpg,-1.0,1681.0,1713.0,2195.0,2209.0,1,3264.0,2448.0,32.0,14.0,100
5732,photo-63.jpg,-1.0,1388.0,1420.0,2192.0,2206.0,1,3264.0,2448.0,32.0,14.0,100
5731,photo-63.jpg,-1.0,1447.0,1479.0,2192.0,2207.0,H,3264.0,2448.0,32.0,15.0,100
5730,photo-63.jpg,-1.0,1506.0,1537.0,2192.0,2207.0,1,3264.0,2448.0,31.0,15.0,100
5728,photo-63.jpg,-1.0,1636.0,1649.0,2192.0,2210.0,=,3264.0,2448.0,13.0,18.0,100
5734,photo-63.jpg,-1.0,1271.0,1302.0,2191.0,2205.0,1,3264.0,2448.0,31.0,14.0,100
5735,photo-63.jpg,-1.0,1212.0,1244.0,2190.0,2205.0,1,3264.0,2448.0,32.0,15.0,100
8066,photo-96.jpg,-1.0,1002.0,1014.0,2189.0,2209.0,I,3264.0,2448.0,12.0,20.0,100
5729,photo-63.jpg,-1.0,1565.0,1596.0,2188.0,2213.0,4,3264.0,2448.0,31.0,25.0,100
8539,photo-98.jpg,-1.0,1031.0,1051.0,2187.0,2210.0,a,3264.0,2448.0,20.0,23.0,100
5736,photo-63.jpg,-1.0,1153.0,1185.0,2187.0,2209.0,5,3264.0,2448.0,32.0,22.0,100
8262,photo-98.jpg,-1.0,2090.0,2118.0,2180.0,2202.0,7.,3264.0,2448.0,28.0,22.0,100
