,bb_height,bb_width,block_num,cell_type,conf,content,filename,img_height,img_width,level,line_num,page_num,par_num,word_num,x1,x2,y1,y2
4,95.0,6.0,1.0,-1,42.0,__..,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,179.0,185.0,986.0,1081.0
6,421.0,23.0,1.0,-1,37.0,iss,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,3.0,158.0,181.0,564.0,985.0
11,4.0,23.0,2.0,-1,81.0,|,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,247.0,270.0,2116.0,2120.0
12,69.0,22.0,2.0,-1,72.0,Ph:O7,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,224.0,246.0,1614.0,1683.0
13,58.0,22.0,2.0,-1,75.0,3688,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,3.0,222.0,244.0,1546.0,1604.0
14,59.0,21.0,2.0,-1,96.0,3289,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,4.0,221.0,242.0,1477.0,1536.0
15,7.0,64.0,2.0,-1,35.0,1,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,5.0,189.0,253.0,1203.0,1210.0
16,5.0,35.0,2.0,-1,89.0,|,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,6.0,208.0,243.0,1168.0,1173.0
17,55.0,24.0,2.0,-1,96.0,Tax,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,7.0,197.0,221.0,851.0,906.0
18,110.0,27.0,2.0,-1,94.0,Invoice,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,8.0,191.0,218.0,729.0,839.0
20,4.0,19.0,2.0,-1,40.0,|,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,1.0,271.0,290.0,2116.0,2120.0
22,3.0,15.0,2.0,-1,88.0,|,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,1.0,331.0,346.0,2116.0,2119.0
26,133.0,24.0,3.0,-1,55.0,FaxO73888,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,252.0,276.0,1549.0,1682.0
27,59.0,20.0,3.0,-1,95.0,7959,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,251.0,271.0,1479.0,1538.0
28,3.0,7.0,3.0,-1,93.0,|,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,3.0,246.0,253.0,1168.0,1171.0
30,360.0,21.0,3.0,-1,12.0,nne,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,5.0,247.0,268.0,378.0,738.0
32,18.0,32.0,3.0,-1,58.0,1,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,7.0,223.0,255.0,359.0,377.0
34,59.0,17.0,3.0,-1,12.0,www,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,1.0,289.0,306.0,1624.0,1683.0
35,256.0,31.0,3.0,-1,69.0,giutenfreebakery.net,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,2.0,278.0,309.0,1367.0,1623.0
36,111.0,72.0,3.0,-1,30.0,%,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,3.0,254.0,326.0,1061.0,1172.0
37,214.0,14.0,3.0,-1,16.0,anne,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,4.0,268.0,282.0,798.0,1012.0
38,3.0,10.0,3.0,-1,89.0,|,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,5.0,268.0,278.0,358.0,361.0
40,353.0,35.0,3.0,-1,83.0,gluten@glutenfreebakery.net,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,1.0,308.0,343.0,1329.0,1682.0
41,3.0,17.0,3.0,-1,96.0,|,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,2.0,327.0,344.0,1167.0,1170.0
42,13.0,16.0,3.0,-1,84.0,Date,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,3.0,319.0,335.0,1096.0,1109.0
43,124.0,30.0,3.0,-1,24.0,18/076,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,4.0,292.0,322.0,611.0,735.0
47,40.0,21.0,4.0,-1,90.0,Dat,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,316.0,337.0,1110.0,1150.0
49,124.0,24.0,4.0,-1,79.0,Glutenfree,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,1.0,404.0,428.0,1938.0,2062.0
50,82.0,25.0,4.0,-1,95.0,Bakery,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,2.0,402.0,427.0,1844.0,1926.0
51,36.0,26.0,4.0,-1,96.0,Pty,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,3.0,401.0,427.0,1798.0,1834.0
52,35.0,21.0,4.0,-1,96.0,Ltd,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,4.0,400.0,421.0,1752.0,1787.0
53,45.0,41.0,4.0,-1,55.0,L,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,5.0,345.0,386.0,1124.0,1169.0
55,48.0,22.0,4.0,-1,96.0,Unit,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,1.0,438.0,460.0,2014.0,2062.0
56,49.0,20.0,4.0,-1,94.0,1/10,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,2.0,437.0,457.0,1955.0,2004.0
57,83.0,22.0,4.0,-1,41.0,Helium,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,3.0,434.0,456.0,1863.0,1946.0
58,25.0,21.0,4.0,-1,96.0,St,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,4.0,433.0,454.0,1829.0,1854.0
59,62.0,25.0,4.0,-1,95.0,Page,photo-0.jpg,2448.0,3264.0,5.0,3.0,1.0,1.0,5.0,419.0,444.0,1086.0,1148.0
61,118.0,27.0,4.0,-1,95.0,Narangba,photo-0.jpg,2448.0,3264.0,5.0,4.0,1.0,1.0,1.0,468.0,495.0,1944.0,2062.0
63,55.0,23.0,4.0,-1,96.0,QLD,photo-0.jpg,2448.0,3264.0,5.0,5.0,1.0,1.0,1.0,502.0,525.0,2007.0,2062.0
64,59.0,22.0,4.0,-1,96.0,4504,photo-0.jpg,2448.0,3264.0,5.0,5.0,1.0,1.0,2.0,500.0,522.0,1940.0,1999.0
67,57.0,22.0,4.0,-1,96.0,ABN,photo-0.jpg,2448.0,3264.0,5.0,6.0,1.0,1.0,1.0,534.0,556.0,2007.0,2064.0
68,28.0,22.0,4.0,-1,91.0,93,photo-0.jpg,2448.0,3264.0,5.0,6.0,1.0,1.0,2.0,533.0,555.0,1969.0,1997.0
69,43.0,20.0,4.0,-1,96.0,140,photo-0.jpg,2448.0,3264.0,5.0,6.0,1.0,1.0,3.0,533.0,553.0,1914.0,1957.0
70,43.0,21.0,4.0,-1,96.0,864,photo-0.jpg,2448.0,3264.0,5.0,6.0,1.0,1.0,4.0,532.0,553.0,1862.0,1905.0
71,45.0,21.0,4.0,-1,96.0,400,photo-0.jpg,2448.0,3264.0,5.0,6.0,1.0,1.0,5.0,530.0,551.0,1808.0,1853.0
75,94.0,23.0,5.0,-1,96.0,HACCP,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,565.0,588.0,1966.0,2060.0
76,123.0,22.0,5.0,-1,83.0,Certificate,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,564.0,586.0,1834.0,1957.0
77,168.0,23.0,5.0,-1,78.0,FSAU14/8601,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,3.0,560.0,583.0,1648.0,1816.0
78,123.0,24.0,5.0,-1,96.0,Document,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,4.0,538.0,562.0,1022.0,1145.0
79,32.0,20.0,5.0,-1,96.0,No,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,5.0,537.0,557.0,974.0,1006.0
91,84.0,23.0,8.0,-1,96.0,Deliver,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,661.0,684.0,1058.0,1142.0
92,20.0,21.0,8.0,-1,96.0,to,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,661.0,682.0,1030.0,1050.0
96,144.0,27.0,9.0,-1,95.0,Alexandra,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,720.0,747.0,1001.0,1145.0
97,65.0,26.0,9.0,-1,95.0,Park,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,717.0,743.0,924.0,989.0
98,167.0,26.0,9.0,-1,96.0,Conference,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,3.0,714.0,740.0,745.0,912.0
99,43.0,24.0,9.0,-1,95.0,Ctr,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,4.0,710.0,734.0,690.0,733.0
101,122.0,22.0,9.0,-1,96.0,Alexandra,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,1.0,762.0,784.0,1846.0,1968.0
102,56.0,21.0,9.0,-1,96.0,Park,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,2.0,761.0,782.0,1779.0,1835.0
103,142.0,22.0,9.0,-1,96.0,Conference,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,3.0,759.0,781.0,1629.0,1771.0
104,80.0,22.0,9.0,-1,96.0,Centre,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,4.0,756.0,778.0,1539.0,1619.0
108,52.0,21.0,10.0,-1,90.0,P.O.,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,793.0,814.0,1914.0,1966.0
109,46.0,21.0,10.0,-1,96.0,Box,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,793.0,814.0,1857.0,1903.0
110,44.0,22.0,10.0,-1,96.0,705,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,3.0,791.0,813.0,1805.0,1849.0
111,31.0,25.0,10.0,-1,95.0,13,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,4.0,764.0,789.0,1109.0,1140.0
112,60.0,25.0,10.0,-1,96.0,Mari,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,5.0,761.0,786.0,1037.0,1097.0
113,28.0,24.0,10.0,-1,96.0,St,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,6.0,761.0,785.0,997.0,1025.0
115,80.0,22.0,10.0,-1,96.0,Cotton,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,1.0,824.0,846.0,1887.0,1967.0
116,64.0,24.0,10.0,-1,96.0,"Tree,",photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,2.0,823.0,847.0,1815.0,1879.0
117,61.0,22.0,10.0,-1,96.0,4558,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,3.0,821.0,843.0,1745.0,1806.0
118,144.0,27.0,10.0,-1,96.0,Alexandra,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,4.0,802.0,829.0,999.0,1143.0
119,154.0,29.0,10.0,-1,94.0,Headlands,photo-0.jpg,2448.0,3264.0,5.0,2.0,1.0,1.0,5.0,796.0,825.0,833.0,987.0
123,64.0,26.0,11.0,-1,96.0,QLD,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,847.0,873.0,1074.0,1138.0
124,70.0,25.0,11.0,-1,93.0,4572,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,2.0,845.0,870.0,994.0,1064.0
140,104.0,20.0,15.0,-1,96.0,Account,photo-0.jpg,2448.0,3264.0,5.0,1.0,1.0,1.0,1.0,1092.0,1112.0,1991.0,2095.0
